Id,SalePrice
1461,126067.97
1462,164511.94
1463,172824.66
1464,197281.81
1465,175009.02
1466,170915.97
1467,179247.25
1468,166504.17
1469,179118.56
1470,120268.51
1471,204422.34
1472,91911.39
1473,91178.83
1474,154675.3
1475,114717.02
1476,378667.5
1477,246347.0
1478,300586.56
1479,252767.31
1480,512910.03
1481,319662.84
1482,212629.88
1483,169705.45
1484,162299.72
1485,171786.64
1486,192407.12
1487,333635.06
1488,232878.6
1489,201545.58
1490,216410.88
1491,190471.17
1492,92908.39
1493,179258.53
1494,281436.7
1495,296981.22
1496,229274.48
1497,179273.9
1498,158018.08
1499,155004.89
1500,151992.47
1501,169909.17
1502,144133.08
1503,301578.62
1504,237901.72
1505,218403.34
1506,197499.05
1507,245039.55
1508,194599.62
1509,167098.31
1510,144516.55
1511,146911.53
1512,171130.77
1513,155692.02
1514,159334.9
1515,190732.92
1516,161954.45
1517,168587.25
1518,138761.55
1519,221752.38
1520,134457.55
1521,138106.06
1522,160019.86
1523,115043.51
1524,121649.53
1525,123113.195
1526,113057.26
1527,93933.03
1528,147108.66
1529,144963.78
1530,178788.0
1531,100381.98
1532,107533.42
1533,153499.86
1534,121556.29
1535,167720.97
1536,110785.98
1537,63075.504
1538,147801.94
1539,175598.16
1540,90423.38
1541,153333.2
1542,134408.33
1543,230919.61
1544,74653.984
1545,106925.27
1546,133355.22
1547,129531.94
1548,144224.8
1549,115135.16
1550,134157.31
1551,121468.8
1552,126959.23
1553,142350.12
1554,114227.19
1555,172940.56
1556,84427.86
1557,113211.44
1558,93577.53
1559,66682.09
1560,130032.336
1561,109396.44
1562,126046.93
1563,115142.3
1564,159448.61
1565,139387.05
1566,223151.9
1567,71134.79
1568,218878.55
1569,128324.27
1570,144626.3
1571,117913.74
1572,157918.05
1573,242435.72
1574,99653.24
1575,211279.0
1576,224995.0
1577,190360.58
1578,129113.72
1579,154214.28
1580,197174.98
1581,156714.52
1582,128561.55
1583,339894.34
1584,227750.97
1585,140935.7
1586,64247.402
1587,100427.266
1588,151168.92
1589,109082.336
1590,132114.81
1591,105677.84
1592,115977.55
1593,119058.62
1594,131572.89
1595,91769.85
1596,236288.42
1597,185115.03
1598,195212.64
1599,172619.75
1600,164394.3
1601,71817.734
1602,112246.68
1603,82852.77
1604,264311.94
1605,249016.84
1606,172479.05
1607,165196.14
1608,208465.94
1609,184423.75
1610,159406.95
1611,141309.45
1612,167389.55
1613,161929.28
1614,117755.625
1615,77738.99
1616,65605.6
1617,90134.09
1618,124633.695
1619,133277.67
1620,147653.16
1621,137537.73
1622,150261.53
1623,274501.97
1624,211195.4
1625,128962.97
1626,154544.95
1627,192698.92
1628,282064.34
1629,177169.1
1630,391283.53
1631,216060.92
1632,242293.11
1633,163641.77
1634,186855.55
1635,176392.39
1636,155816.94
1637,175525.16
1638,171874.62
1639,178436.25
1640,271125.97
1641,178528.5
1642,215767.7
1643,226597.95
1644,243448.19
1645,180868.4
1646,161182.81
1647,154844.88
1648,134360.78
1649,133108.86
1650,110577.3
1651,122511.305
1652,93249.61
1653,93379.53
1654,151664.8
1655,147672.88
1656,149290.53
1657,147408.62
1658,145178.92
1659,120801.305
1660,153322.39
1661,473386.75
1662,393034.56
1663,367307.75
1664,518052.16
1665,326685.28
1666,318597.62
1667,332249.72
1668,344598.22
1669,277799.16
1670,361301.53
1671,268815.75
1672,516887.5
1673,296049.47
1674,245351.95
1675,193147.84
1676,193605.03
1677,214608.0
1678,486124.56
1679,355592.56
1680,360329.47
1681,265999.84
1682,293063.4
1683,175654.11
1684,178163.5
1685,167301.78
1686,165330.89
1687,162466.03
1688,195102.64
1689,180465.92
1690,187986.95
1691,175282.61
1692,254778.47
1693,165384.83
1694,178342.67
1695,159404.06
1696,280852.16
1697,174333.03
1698,344256.94
1699,331783.3
1700,243857.61
1701,268335.5
1702,253113.95
1703,261883.39
1704,291596.44
1705,231484.5
1706,485276.9
1707,217795.17
1708,203063.19
1709,267279.94
1710,227326.1
1711,263574.66
1712,269115.34
1713,272383.7
1714,234909.53
1715,196413.39
1716,186863.38
1717,165847.6
1718,135028.61
1719,196555.98
1720,261558.9
1721,161433.56
1722,118423.234
1723,150529.03
1724,216305.22
1725,236228.03
1726,183472.77
1727,158118.47
1728,182569.86
1729,160802.5
1730,153425.36
1731,121010.24
1732,128992.734
1733,120891.43
1734,118921.54
1735,135810.33
1736,117214.35
1737,324337.8
1738,212067.5
1739,302874.2
1740,211111.42
1741,199907.73
1742,169909.17
1743,167025.83
1744,308371.66
1745,228995.0
1746,185205.44
1747,204255.14
1748,234668.61
1749,154633.4
1750,136340.83
1751,241355.39
1752,122705.875
1753,146453.12
1754,197407.16
1755,175423.42
1756,127139.88
1757,121429.19
1758,137083.73
1759,167078.08
1760,178359.0
1761,130056.52
1762,180404.31
1763,170673.28
1764,119293.09
1765,173874.44
1766,173362.81
1767,207688.86
1768,147964.12
1769,178465.86
1770,148623.16
1771,126524.336
1772,141665.27
1773,132431.83
1774,141767.3
1775,134821.83
1776,127069.21
1777,111171.55
1778,140635.89
1779,115531.234
1780,179214.25
1781,137204.06
1782,87423.805
1783,143739.53
1784,93970.84
1785,120451.82
1786,129492.66
1787,164235.56
1788,53198.445
1789,104130.19
1790,67535.46
1791,204118.83
1792,152253.61
1793,138938.45
1794,147546.88
1795,133383.47
1796,119417.27
1797,121130.9
1798,122571.14
1799,118718.25
1800,126887.33
1801,133363.36
1802,135099.97
1803,153651.88
1804,140489.38
1805,139772.94
1806,130601.54
1807,133089.56
1808,116096.73
1809,115420.99
1810,137211.39
1811,101201.9
1812,99662.555
1813,122943.19
1814,100384.27
1815,61720.75
1816,95338.32
1817,111959.625
1818,149090.06
1819,127380.42
1820,53936.008
1821,109697.0
1822,151808.78
1823,46745.215
1824,135881.84
1825,128254.3
1826,98359.43
1827,98292.01
1828,126195.836
1829,121640.72
1830,148236.0
1831,160689.52
1832,81415.234
1833,137216.75
1834,124131.695
1835,123694.336
1836,126706.305
1837,94859.37
1838,124997.1
1839,88425.82
1840,154285.92
1841,141465.05
1842,76785.62
1843,128560.69
1844,131160.22
1845,140203.48
1846,157087.11
1847,156101.31
1848,66661.37
1849,121565.57
1850,118316.78
1851,153253.23
1852,128787.09
1853,136707.61
1854,166068.39
1855,156052.34
1856,212954.56
1857,155137.69
1858,139903.77
1859,117266.234
1860,151629.95
1861,114945.36
1862,304579.97
1863,305073.0
1864,305073.0
1865,324527.78
1866,334635.62
1867,239680.27
1868,313586.16
1869,213274.06
1870,227814.19
1871,235998.12
1872,140801.23
1873,229349.28
1874,148363.44
1875,209317.19
1876,195427.6
1877,218492.1
1878,182387.31
1879,135789.34
1880,136589.4
1881,241696.75
1882,267367.38
1883,196209.52
1884,201944.23
1885,265189.06
1886,295632.2
1887,210061.1
1888,282802.1
1889,167036.02
1890,127513.39
1891,141462.89
1892,105663.03
